sigla,latitude,longitude,name,city,state
CZS,-7.598349,-72.77343,Cruzeiro do Sul International Airport,Cruzeiro do Sul,Acre
RBR,-9.85848,-67.89590,Plácido de Castro International Airport,Rio Branco,Acre
MCZ,-9.511861,-35.793182,Zumbi dos Palmares International Airport,Rio Largo,Alagoas
MCP,0.0500081,-51.06711,Alberto Alcolumbre International Airport,Macapá,Amapá
MAO,-3.0358474,-60.046326,Eduardo Gomes International Airport,Manaus,Amazonas
TBT,-4.25038,-69.93939,Tabatinga International Airport,Tabatinga,Amazonas
SSA,-12.911098,-38.33124,Deputado Luís Eduardo Magalhães International Airport,Salvador,Bahia
FOR,-3.7771554,-38.533096,Pinto Martins – Fortaleza International Airport,Fortaleza,Ceará
BSB,-15.869737,-47.917236,Brasília International Airport (Presidente J. Kubitschek Int'l Airport),Brasília,Distrito Federal
VIX,-20.257648,-40.283535,Eurico de Aguiar Salles Airport,Vitória,Espírito Santo
GYN,-16.632303,-49.216347,Santa Genoveva Airport,Goiânia,Goiás
SLZ,-2.5849926,-44.23488,Marechal Cunha Machado International Airport,São Luís,Maranhão
CGB,-15.653079,-56.117268,Marechal Rondon International Airport,Várzea Grande,Mato Grosso
CGR,-20.468693,-54.67412,Campo Grande International Airport,Campo Grande,Mato Grosso do Sul
CMG,-19.013786,-57.66343,Corumbá International Airport,Corumbá,Mato Grosso do Sul
PMG,-22.549639,-55.702614,Ponta Porã International Airport,Ponta Porã,Mato Grosso do Sul
CNF,-19.634098,-43.965397,Tancredo Neves International Airport (Confins Int'l Airport),Confins,Minas Gerais
BEL,-1.3820615,-48.477524,Val de Cans International Airport,Belém,Pará
STM,-2.4248295,-54.786243,Santarém-Maestro Wilson Fonseca Airport,Santarém,Pará
JPA,-7.146009,-34.948776,Presidente Castro Pinto International Airport,João Pessoa,Paraíba
CWB,-25.532713,-49.17248,Afonso Pena International Airport,São José dos Pinhais,Paraná
IGU,-25.59771,-54.488514,Foz do Iguaçu International Airport,Foz do Iguaçu,Paraná
REC,-8.125932,-34.924015,Recife/Guararapes–Gilberto Freyre International Airport,Recife,Pernambuco
PHB,-2.895248,-41.729797,Parnaíba-Prefeito Dr. João Silva Filho International Airport,Parnaíba,Piauí
THE,-5.063463,-42.82119,Teresina–Senador Petrônio Portella Airport,Teresina,Piauí
GIG,-22.805265,-43.25663,Rio de Janeiro–Galeão International Airport,Rio de Janeiro,Rio de Janeiro
CFB,-22.925629,-42.079235,Cabo Frio International Airport,Cabo Frio,Rio de Janeiro
NAT,-5.7679067,-35.364033,São Gonçalo do Amarante–Governador Aluízio Alves International Airport,São Gonçalo do Amarante,Rio Grande do Norte
POA,-29.993473,-51.17538,Salgado Filho International Airport,Porto Alegre,Rio Grande do Sul
BGX,-31.389591,-54.11207,Comandante Gustavo Kraemer Airport,Bagé,Rio Grande do Sul
PET,-31.715822,-52.33069,João Simões Lopes Neto International Airport,Pelotas,Rio Grande do Sul
URG,-29.783995,-57.0357,Rubem Berta International Airport,Uruguaiana,Rio Grande do Sul
PVH,-8.71417,-63.89832,Governador Jorge Teixeira de Oliveira International Airport,Porto Velho,Rondônia
BVB,2.8419237,-60.69259,Boa Vista International Airport,Boa Vista,Roraima
FLN,-27.670118,-48.545967,Hercílio Luz International Airport,Florianópolis,Santa Catarina
NVT,-26.880535,-48.649086,Navegantes–Ministro Victor Konder International Airport,Navegantes,Santa Catarina
GRU,-23.430573,-46.47304,São Paulo–Guarulhos International Airport,Guarulhos,São Paulo
VCP,-23.008205,-47.13757,Viracopos/Campinas International Airport,Campinas,São Paulo
QSC,-21.87670,-47.90684,Mário Pereira Lopes Airport,São Carlos,São Paulo
AJU,-10.98412,-37.07328,Santa Maria Airport,Aracaju,Sergipe
